City Name,State Name,Year,Plan Type,Threats,Adaptation Measures,Mitigation Measures,Resilience Measures
Tampa,FL,2023,Equal Adaptation-Mitigation CAP,N/A,"GOV 5.1.1 Create future planning guidance through the Post Disaster Redevelopment Plan, E 1.2.3 Review existing tariff rates for all departments, with a focus on opportunities when transitioning to renewable energy sources, WM 4.1.1 Identify and develop methods for recycling or reusing ash residue or treated ash residue, HD 1.1.1 Continue the Mayor’s affordable housing initiative and the Dare to Own the Dream home ownership program, HD 1.1.2 Adopt missing middle zoning to provide “gentle density” near transit corridors and in neighborhoods where hi-rise development may not be compatible, HD 1.1.3 Create an ADU policy for areas outside of the CHHA, increasing the supply of housing in less hazard-prone areas, HD 1.2.1 Work with community partners to develop home renovation programs, HD 1.2.2 Communicate new state and federal incentives for home improvement related to energy efficiency and storm readiness, HD 2.1.1 Finalize and implement policy recommendation from the Coastal Area Action Plan study, HD 2.1.2 Ensure strict enforcement of the most current Florida Building Codes through the permitting process, SW 2.1 Incorporate climate change and sea level rise in stormwater and watershed planning documents, SW 2.1.1 Establish future conditions scenarios for use in the City of Tampa Stormwater Manual, SW 2.1.2 Create a future conditions groundwater map, SW 2.1.3 Differentiate areas of the city and apply unique codes for areas susceptible to sea level rise, SW 2.1.4 Increase requirements for upland water storage at the lot level, SW 2.1.5 Consider future rainfall projections when establishing stormwater standards, TLU 1.2.7 During all major roadway projects, place utility wires underground or install underground conduit to facilitate future underground service, COM 1.1.1 Familiarize residents with environmental hazards and response through everyday project outreach activities, COM 1.2 Educate the community about climate change through accessible and culturally aware forms of communication, COM 1.2.1 Expand and promote programs such as Mangrove Marcus, COM 1.2.2 Create a communication channel designed to inform underserved communities, COM 1.2.3 Explain flood insurance and potential liabilities to property owners, COM 1.2.4 Create overlay zones that relate to future sea level rise projection, COM 1.2.5 Create a real estate disclosure policy or property report card, COM 1.2.6 Create a climate resilience committee that includes local-level community representatives, COM 1.2.7 Expand the Resilient Tampa brand, COM 2.1.1 Develop training programs to prepare Tampanians for quality jobs supporting climate initiatives","Include tree planting and demolition information in a coordinated GIS database, Hire a data manager, Use future conditions for capital improvement projects and permitting, Inventory vehicle miles traveled (VMTs) in the City and set realistic targets for VMT reduction, Ensure policies do not unnecessarily prioritize vehicle-centric infrastructure, Quickly expand dedicated, protected spaces for bicyclists and pedestrians, using affordable and efficient methods, Provide tree canopy or other shading within the pedestrian mobility network, Begin an intense tree planting effort along trails, Coordinate with HART to ensure sufficient shade at bus shelters, Integrate tree plantings into new mobility projects, During all major roadway projects, place utility wires underground or install underground conduit to facilitate future underground service, Create a standards ordinance to establish minimum criteria for the integration of complete streets in capital improvement projects, Beginning with a pilot effort in Sulphur Springs, test and expand upon initiatives to connect multiple modes of safe transportation, Allocate sufficient resources in mobility projects to manage long-term maintenance of project-associated trees, Implement the Transit Oriented Development/Mixed-Use Corridor zoning and land use recommendations from City Planning studies, Expand the Neighborhood Commercial District Plan program, Change land use code and zoning to promote the 10-minute neighborhood concept, Identify high density locations in the City’s future land use plan and prioritize regional and multi-modal transit accommodation in proximity, Prioritize public CIP funding in neighborhoods with density, Follow the Vision Zero Action Plan, including the creation of a Safe Routes to Places program, Re-evaluate, decrease and, where appropriate, eliminate off-street parking requirements, Establish transit and other mobility plans in a formalized document, Modernize and expand the streetcar system, Support regional transit connections such as the Brightline, Ensure transit affordability, Direct consistent funding towards building renovations for energy reduction, Install solar panels at municipal facilities, using the Solar Feasibility Study provided by this Plan, Mandate that all new municipal construction should utilize solar energy when possible, or be solar ready, Continue to build the City’s electric and hybrid vehicle fleet, Hire an energy manager, Develop a framework for comprehensive energy consumption tracking and management, Continue to conduct a greenhouse gas inventory every 5 years, Form a working group to evaluate options for policy that incentivizes solar energy production and energy efficiency projects in the private sector, Embed weatherization into the City of Tampa Owner-Occupied program, Facilitate connections between the community and solar programs, Review historic district codes and ensure that all Tampa homes have an opportunity to install solar, Work with TECO to develop a decentralized power generation plan, Evaluate integration of climate action initiatives in department planning, Create fees for projects that defer climate costs, Work with communities to create self-assessed climate funds, For new projects, allocate a percentage of scoping to identify resilience components, Locate and develop Adaptation Action Areas, Create planning overlay zones that relate to future sea-level rise impacts, Digitize elevation certificates and integrate into geographic information systems, Create future planning guidance through the Post Disaster Redevelopment Plan, Establish a wetland policy to protect critical ecosystems, Integrate tree planting into public works and mobility projects, If form-based codes are developed, consider space requirements for trees and maximize canopy potential, Move overhead utilities underground while accomplishing streetscape or other capital projects, Establish new tree planting procurement methods for the Parks and Recreation Department, Increase Tampa Parks and Recreation Department staff so that they can both maintain and expand the city’s tree canopy, Enhance tree inventory methods by capturing parcel-level data through development and redevelopment permitting","Review and assess opportunities for collaboration, Create a position to coordinate Resilient Tampa, Complete a comprehensive review of policies, Coordinate the integration of climate action initiatives, Explore potential to build mitigation and adaptation funds, Work with communities to create self-assessed climate funds, Allocate percentage to identify resilience components, Create overlay districts for community goals and funding, Locate and develop Adaptation Action Areas, Create planning overlay zones related to sea-level rise, Digitize elevation certificates, Include tree planting and demolition data in GIS, Integrate future conditions into planning, Establish future conditions scenarios for stormwater, Create future conditions groundwater map, Differentiate areas susceptible to sea-level rise, Increase uplift water storage requirements, Consider future rainfall projections, Create safer pedestrian-scaled environments, Provide tree canopy in pedestrian networks, Expand dedicated spaces for bicyclists, Coordinate shade at bus shelters, Integrate tree plantings into mobility projects, Underground utility wires for future tree opportunities, Develop ordinance for complete streets, Establish systems of local community sheltering, Transition to 100% clean and renewable energy, Direct funding towards building energy reductions, Install solar panels in municipal facilities, Transition to electric vehicles, Embed weatherization into programs, Establish resilient building practices, Finalize Coastal Area Action Plan, Avoid hazardous uses in high-risk areas, Facilitate solar program connections, Coordinate with TECO on decentralized power, Evaluate options for policies incentivizing energy efficiency, Implement Transit Oriented Development/Mixed-Use zoning, Expand Neighborhood Commercial District Plan, Prioritize public funding in dense areas, Modernize and expand streetcar system, Create sheltering facilities through integrated projects."
Albany,NY,2022,Resiliency Plan,"Flood risks, extreme weather events, extreme heat, invasive species, lack of climate resilient infrastructure.","moving people and economic activities out of flood-prone areas, building defenses to protect against sea level rise, growing alternative crops suitable for warmer temperatures, developing an Extreme Heat and Cold Emergency Response Plan, expanding the network of cooling and warming facilities, providing financial assistance for energy efficient appliance installation, investing in public spaces to expand the urban forest, developing a Flood Emergency Response and Recovery Plan, designating county-wide evacuation routes, enhancing emergency communications, identifying sites for temporary housing, creating a ""Resilient Homes Program"", identifying new locations for and installing rain and stream gauges, conducting a county-wide culvert analysis, conducting a county-wide transportation vulnerability assessment, incorporating green infrastructure, creating a “Green Streets Initiative”, developing a County-wide Open Space Plan, creating a “Business Resiliency Program”, developing a “Sustainable Albany” campaign.","Increasing renewable energy use, de-carbonizing the transportation and building sectors, planting trees to increase carbon dioxide storage.","Build climate resilience over time and across scales and systems, Guide growth and development away from high risk areas, Preserve, expand, and restore natural areas, Learn from past events and anticipate future disturbances, Support data-driven decision-making, Promote regional sharing of information and resources, Effectively and equitably respond to and recover from natural disturbances, Implement inclusive, community-based planning processes, Support and empower local communities and institutions, Strengthen residents’ sense of place and awareness of natural processes by deepening connections between social and ecological systems, Increase the public’s understanding of and capacity to respond to climate change, Promote and support a diverse local economy, Increase the capacity of local businesses to prepare for, respond to, and recover from natural disturbances, Develop a skilled workforce to support a sustainable, resilient economy and high quality of life, Plan and design for passive survivability, Preserve agricultural lands and strengthen the local food system, Decarbonize the building sector, Ensure mass transit and active transit are viable modes of transportation, Decarbonize the electric grid."
Detroit,MI,2019,Green Plan,"Flooding, Extreme heat, Poor air quality, Infrastructure overwhelm, Natural disasters","Integrate climate change impacts into hazard mitigation planning, Expand emergency preparedness and communication tools, Create neighborhood scale, distributed green infrastructure projects, Incorporate green stormwater infrastructure into street redesign and greenway projects, Enhance infrastructure and operations to improve resilience to climate impacts","Develop a greenhouse gas assessment and climate action strategy, Increase the adoption of solar PV, Reduce emissions from City vehicles","Integrate climate change impacts into hazard mitigation planning, Expand emergency preparedness and communication tools, Incorporate green stormwater infrastructure into street redesign and greenway projects, Create neighborhood scale, distributed green infrastructure projects, Enhance infrastructure and operations to improve resilience to climate impacts"
Ann Arbor,MI,2012,Mitigation Primary CAP,"Decreased winter ice cover, Increased extreme weather events, Changing rainfall patterns, Shifts in distribution and composition of species, Risk of new diseases.","Implement “no regrets” adaptation actions now, Ensure an integrated systems planning approach to the building and natural infrastructure for all climate change planning scenarios, Protect citizens from health and safety hazards, Integrate climate projections into all City planning across all systems, Update and maintain technology and plans to support emergency management responses to extreme climate events, Carefully manage collection, diversion and reuse of rainwater to maximize use and water quality, Adapt to and effectively manage current hazards and emerging threats, Evaluate risks and vulnerabilities that impact our natural and human systems, Assess and anticipate climate change impacts on natural and built environments, Addressing flooding concerns by upgrading aging stormwater infrastructure, increasing capacity for wastewater collection and treatment, and promoting rainwater collection, Anticipating the public health impact of extreme heat events as well as other weather changes, including increased storm events, Protecting air quality and promoting actions that help remedy current air pollution problems while looking ahead to future threats from increased pollution and diseases due to warmer temperatures, Use climate-resiliency practices in all city planning efforts, Engage the public in comprehensive adaptation planning, Require vulnerability assessments for climate-related environmental hazards, Encourage all citizens to have emergency plans and emergency supplies in their homes, Develop and implement preparedness and response plans for health threats such as heat waves, severe weather events, and infectious diseases.","Higher Performing Buildings, Energy Source, Renewable Energy, Integrated Land Use, Transportation Options, Sustainable Systems, Responsible Resource Use, Local Food, Healthy Ecosystems, Engaged Community, Safe Community","Address flooding concerns by upgrading aging stormwater infrastructure, increasing capacity for wastewater collection and treatment, promoting rainwater collection, anticipate the public health impact of extreme heat events, protect air quality and promote actions that help remedy current air pollution problems, engage the public in comprehensive adaptation planning, require vulnerability assessments for climate-related environmental hazards, encourage citizens to have emergency plans, develop and implement preparedness and response plans for health threats, update and maintain technology and plans to support emergency management response to extreme climate events."
Savannah,GA,2009,Green Plan,"Impacts of the built environment on the estuarine environment, Utilize natural resources without destroying the resource, Coastal hazards and weather, Species diversity and habitat conservation, Groundwater issues: saltwater intrusion and pressure",Hire a qualified authority to conduct analysis and prepare an adaptation plan.,"Require LEED Silver buildings for new County-funded buildings, Require the use of fly ash/slag in all County construction concrete projects, Require 25% C&D waste from any development project to be recycled, Adopt a grey water ordinance for new development, Work to create green collar jobs, Provide tax exemptions for LEED Gold or higher certification, Update the building code for efficient toilets, Require all new CAT buses be hybrid, electric or natural gas, Require moisture sensors on irrigation systems countywide, Update local building code for low cost energy efficiency measures, Require all car wash facilities to recycle water, Use biodiesel for the County fleet, Require ""cool"" roofing in all new structures, Commit to planting 365 new trees each year, Comprehensive upgrade of all existing County owned buildings, Purchase or generate green power, Implement environmentally preferable procurement policy, Create a ""business challenge"" for GHG reduction, Provide support and recognition for businesses in the business challenge, Eliminate CFCs and HCFCs from County buildings, Implement a countywide low income housing weatherization program, Subsidize employee's CAT fare, Create a revolving fund for energy conservation measures, Implement a climate change and energy conservation education program, Implement environmental education in schools, Promote carpooling systems, Install LED light bulbs in all traffic signals, Provide residential curbside recycling, Provide commercial recycling, Implement a green fleet program for County vehicles, Promote local academic institutions for renewable energy curriculum, Utilize incentives like Green Enterprise Zone, Pass County resolution supporting coastal wind energy, Offer property tax exemption for alternative energy systems, Conduct inventory for solar installations on public properties, Install solar installations as pilot programs, Build community support for renewable energy, Explore Wind for Schools projects, Establish LEED Silver policy for state parks structures, Develop and implement the Sunshine Bus Stop Project, Encourage the use of public transportation.","LEED Silver buildings requirement, use of fly ash/slag in concrete, recycling construction and demolition waste, grey water ordinance adoption, green collar jobs through apprenticeship programs, tax exemptions for LEED Gold or higher certification, hybrid/electric/natural gas buses requirement, moisture sensors for irrigation systems, energy efficiency measures in building codes, recycling requirement for car wash facilities, solar installations inventory and selection, installation of solar pilot projects, educational outreach for renewable energy, Wind for Schools projects exploration, policy establishment for LEED Silver certification in state park structures, Sunshine Bus Stop Project implementation, green fleet program for County vehicle fleet."
Hartford,CT,2017,Mitigation Primary CAP,"Flooding, Extreme Weather, Pollution from Incinerator and Plant, Emerald Ash Borer, Food Insecurity","Plan for vehicular travel and transit access for those without vehicles during emergency events, Expand ability of roadways to absorb and process stormwater during extreme rain or flooding events, Develop adaptation plans for flooding, Improve the resiliency of our aging levee system, Increase tree canopy coverage to provide benefits for climate change adaptation.","Cleaner, cheaper, and more reliable energy, Reduce fossil fuel dependence, Cuts energy costs for all, Nutritious food that is locally grown or non-carbon-intensive, Multi-modal, affordable transportation network, Fewer vehicle-related emissions, Boosts diversion, recycling, and reuse rates, Landscapes filled with trees and meadows, Absorb and filter runoff, Removes major air pollutants, Annually remove more than 5,000 pounds of carbon monoxide, Remove more than 100,000 pounds of ozone, Sequester more than 11,000 tons of carbon, Provides shade that saves energy use.","Ensure Development of Emergency Transportation Plan, Integrate Green Infrastructure Into Roadway Design, Treat Public Trees to Prevent the Emerald Ash Borer, Prioritize Maintenance of Public and Private Trees, Promote Construction of More Microgrids, Separate from the Primary Grid, Utilize Energy Improvement District to Explore Resiliency Projects, Develop Adaptation Plans for Flooding, Support State Water Management Plan to Build Regional Capacity, Facilitate Commercial Indoor Farming, Create a Plan for Food Distribution in Emergency Situations"
Berkeley,CA,2009,Mitigation Primary CAP,"Threats to coastal infrastructure due to rising sea levels, Increased incidence of large wildfires, Serious public health threats due to increasing temperatures, Water shortages due to decreasing Sierra Nevada snowpack, Flooding and coastal erosion from more severe storms.","Conduct an assessment of Berkeley’s vulnerability to climate change impacts, Develop and implement a strategic plan for climate change adaptation, Increase public awareness about the impacts of climate change, Build strong partnerships across sectors, Increase the adaptive capacity of the region’s infrastructure, Encourage water conservation and efficiency, Expand and diversify the water supply, Examine the potential of developing new, local groundwater sources, Encourage water recycling and gray water use, Partner with East Bay Municipal Utility District to provide and market incentives for water conservation.","Reduce conventional energy use, high-quality energy efficiency retrofits, zero net energy performance in new construction, energy efficiency services and standards, local clean decentralized renewable energy supply, energy efficiency and renewable energy use in public buildings, eliminate solid waste at its source, maximize reuse and recycling, enhance recycling, composting, and source reduction services, expand types of materials that can be recycled, eliminate waste at its source by limiting plastic bag use, increase producers’ responsibility for product waste and packaging.","Conduct an assessment of Berkeley's vulnerability to climate change impacts, Partner with local, regional, and state agencies to develop a plan of action for climate adaptation, Participate in the planning and implementation of the State's Climate Adaptation Strategy (CAS), Improve energy efficiency and renewable energy use in public buildings, Mobilize residents, businesses, and industry through an outreach and education campaign, Provide sustainability training in City government."
Fort Collins,CO,2015,Mitigation Primary CAP,"Soaring summer temperatures, longer and more intense droughts, less snowpack with earlier runoff, concentrated rainfall increasing flood risks, threats to forests from fire, insects, and disease.","More efficient buildings, Increased use of fuel efficient and electric vehicles, Improved air quality, Distributed and renewable energy resources with microgrid or “islanding” technology, Waste diversion strategies.","reduce energy use in buildings, reduce energy use in transportation, reduce emissions from electricity, reduce waste and eliminate landfill emissions by recycling or composting, build in efficiency from the start, make existing homes more efficient, increase energy efficiency in the institutional, commercial, and industrial sectors, shift land use patterns to shorten trips and reduce the need to drive, drive adoption of multimodal transport, accelerate adoption of fuel efficient and electric vehicles, advance utility-scale renewable energy supply, advance residential and commercial solar adoption, shift heating loads to biofuels, geothermal, and electrification, road to zero waste, carbon sequestration, Fort Collins Energy Policy Update, revised energy efficiency and local renewable plan, Platte River Power Authority resource planning efforts, hire a Green Building Program Coordinator, evaluate piloting Integrated Utility Services Model, 2015 building code update, participate in the Georgetown University Energy Prize, continue Integrated Design Assistance Program, continue Peak Partners program, expand partnership with Platte River on Efficiency Works programs, develop programs for low/fixed income, consider Time-of-Use and low income electric rate structures, implement Car/Bike/Ride share programs, implement Drive Electric Northern Colorado, promote agricultural management to optimize soil carbon sequestration, promote forest and range management to optimize carbon storage and sequestration, promote continuing research into soil amendments and best soil management practices","Building efficiency, use of alternative transportation, increased electric vehicle adoption, increased distributed and renewable energy sources, waste reduction and diversion, carbon sequestration, increased urban forest, microgrid or ""islanding"" technology, promotion of sustainable building practices, green streets, diversion of storm water, improved water quality, reduction of urban heat island effect."
Anaheim,CA,2020,Mitigation Plan,N/A,"Water conservation education, stringent building standards, replacement of inefficient lawns and appliances, increase recycled water for non-potable uses.","Use of renewable power supplies, Water conservation, Energy efficiency programs, Lighting upgrades to efficient LEDs, Methane capture power generation at Frank R. Bowerman Landfill, Large-scale solar project in Riverside County.","Conservation education, more stringent building standards, replacement of inefficient lawns and appliances, increasing recycled water for non-potable uses."
Atlanta,GA,2017,Resiliency Plan,N/A,"Improve responsiveness to Stormwater Flooding, Create a stormwater utility fee to develop and fund a comprehensive stormwater management program, Protect and expand Atlanta’s tree canopy, Complete construction of the first segment of the Proctor Creek Greenway","Increase use and access to solar energy, Install sustainable energy- and water-efficient infrastructure, Achieve 100 percent use of clean energy citywide by 2035","Create an Equity and Resilience Scorecard, Develop Interfaith Coalition and resilience baseline, Leverage crowdsourced data to improve City systems, Launch a Participatory Budgeting pilot by 2020, Audit Atlanta’s Neighborhood Planning Units, Re-envision Public Libraries to become focal points of community engagement and sustainability by 2019, Establish a system and evaluation process for joint-infrastructure investments by 2020, Improve the City’s community outreach processes, Improve responsiveness to Stormwater Flooding, Create a liaison position within the City of Atlanta by 2020 that focuses on improving engagement with education organizations, Create a City-investment checklist to ensure equity and resilience in public investments, Protect and expand Atlanta’s tree canopy, Launch a restaurant water efficiency pilot program, Create a stormwater utility fee to develop and fund a comprehensive stormwater management program, Increase use and access to solar energy by 2020 through the creation of Solarize Atlanta, Host a resilient infrastructure design competition in 2018, Develop, integrate and institutionalize urban agriculture into policies, programs and projects, Develop a Parks and Greenspace Master Plan by 2019, Complete construction of the first segment of the Proctor Creek Greenway by 2018"
Bloomington,IL,2021,Mitigation Primary CAP,"Air Quality, Extreme Heat, Flooding, Power/Infrastructure Failure, Energy Costs","Decrease vehicle miles traveled by 8%, support and encourage electric vehicle adoption, achieve 30% of vehicles sold and 15% of VMT community-wide by 2030, increase distributed renewable energy to 250,000 MWH of total generation annually by 2030, increase energy efficiency citywide 16% for electricity and 12% for natural gas of 2018 values, support decarbonization of the local electricity grid, promote ""fuel switching"" to reduce on-site fossil fuel use in the building sector by 3% of 2018, increase financing options for energy efficiency and renewable energy projects citywide, educate, motivate, and empower the public to achieve waste reduction and diversion, maintain source and drinking water quality through climate-related challenges, reduce energy use associated with treating and transporting water and wastewater by 10% of 2018 values, mitigate flood hazards and impacts, build marketplace climate resilience, attract, create, and support businesses committed to sustainability and climate goals, develop new mechanisms for financing City climate action plan implementation, increase quantity and quality of greenspace, increase quantity and quality of climate-adaptive native habitats, prepare Bloomington for climate risks and impacts, increase local agricultural resilience to climate shocks.","Implement improvement recommendations of the 2019 Transit Stop Safety and Accessibility Assessment, Create and implement a 5 year transportation funding plan that matches the MPO Metropolitan Transportation Plan and 2019 Transportation Plan, Establish an implementation plan for the redesign of roads to be safer for people including road width reductions on all four-lane city streets as well as on multi-lane one-way streets, installing curb extensions, and refuge medians, Develop a Safe Routes To Schools Implementation Plan (SRTS) for all schools within the City, Prioritize transportation funding for Vision Zero engineering improvement projects paired with VMT reduction strategies to create safe streets for people walking, biking and riding transit, Review, modify, and adopt a revised BMCMPO Complete Streets Policy to add criteria and review procedures for City funded projects, Include in the review and modification an assessment of national best practices in support of achieving the goals of the Climate Action Plan, Conduct a Sidewalk and Bike Path Quality Assessment and Master Plan to identify needs to accelerate bike paths, building sidewalks, crosswalks, and other walking infrastructure, Establish a method for projecting the lifecycle carbon emissions of land use and transportation investments associated with the City's Transportation Plan and Transportation Improvement Program including consideration of embodied energy, operations and maintenance, Adopt project review criteria for City transportation projects that align with and complement the MPO Complete Streets policy and prioritize low carbon modes of transportation, Align City's Transportation Plan and Transportation Improvement Program regional mode share targets with carbon reduction targets and encourage the development of mode share goals specific to the varying community needs and transit infrastructure around the region, Explore establishing a tiered bike infrastructure improvement approach which include adding trees and green stormwater infrastructure whenever possible/prioritized, Increase distributed renewable energy to 250,000 MWH of total generation annually by 2030, Increase energy efficiency citywide 16% for electricity and 12% for natural gas of 2018 values, Support decarbonization of the local electricity grid, Promote ""fuel switching"" to reduce on-site fossil fuel use in the building sector by 3% of 2018, Increase financing options for energy efficiency and renewable energy projects citywide, Decrease vehicle miles traveled (VMT) by 8% of 2018 values, Support and encourage electric vehicle adoption, achieve 30% of vehicles sold and 15% of VMT community-wide by 2030, Increase landfill solid waste diversion by 30% of 2018 values (26,500 tons of waste reduction), Educate, motivate, and empower the public to achieve waste reduction and diversion, Improve the energy efficiency of homes, apartments and commercial buildings to keep interiors cool, improving the comfort and safety of occupants and reducing the need for summer air conditioning, Encourage the planting of trees and vegetation on the south and west sides of homes and buildings to reduce summer heat gain","Utilize current science, best practices and updated maps of flooding and flash flooding potential, micro heat island vulnerability, and populations most vulnerable to flooding and heat impacts to help inform decisions, Ensure equitable implementation of grid resilience actions by partnering with high-risk neighborhoods and non-governmental organizations to develop resilience hubs, Seek to reduce vulnerability to mold by providing mold awareness and mitigation assistance, Establish/expand support of climate and extreme weather safe working conditions, Develop debris management plan for severe storm events and flooding, Engage with environmental offices and health departments to assess and remediate environmental justice concerns, Ensure Emergency Management Plans include current and projected climate change risks and hazards, Develop comprehensive heat response plan with climate change impact projections, Establish public communications campaign about vector borne disease risks, Enhance community networks for those requiring special attention, Strengthen emergency management capacity, Explore indoor air quality monitoring program deployment, Strengthen public-private economic communications in support of climate resilience, Collaborate with partners to establish a technical assistance or Climate Resilient Business concierge service, Prepare public infrastructure for increased demands from climate change."
Lakewood,CO,2015,Green Plan,N/A,"Upgrade existing infrastructure, Update standards to minimize vulnerability, Develop economic, social, and natural resource management policies, Incorporate climate change preparedness into all municipal operations, programs, and policies, Monitor impacts of climate change and effectiveness of adaptation strategies, Increase capacity of Lakewood’s landscape to manage stormwater, Develop requirements, resources, and incentives for green infrastructure, Explore opportunities to work with utility providers for sustainable site designs, Identify funding mechanisms for property in flood plains, Review regularly and test emerging technologies for stormwater quality management.","Regularly monitor Lakewood’s greenhouse gas emissions, Regularly update the “City of Lakewood Greenhouse Emissions Inventory”, Conduct and regularly update a municipal operations greenhouse gas inventory, Identify appropriate national or international emission tracking entities and regularly report data, Develop tools and standards for tracking Lakewood emissions, Utilize emission reduction assessments to prioritize and implement greenhouse gas reduction strategies, Use emission reduction assessments contained in the Sustainability Plan to inform implementation efforts, Consider impacts of all future City actions on emission reduction goals.",N/A
Portland,OR,2015,Mitigation Primary CAP,"Increased temperatures and high-heat days, Increased incidence of drought, Increased wildfire frequency and intensity, Increased incidence and magnitude of damaging floods, Increased incidence of landslides","Strengthen emergency management capacity, Improve community capacity, Ensure the participation of vulnerable populations, Support adaptive building techniques, Recognize climate variables as a risk for managing infrastructure, Improve monitoring and data collection, Monitor potential climate migration trends.","Reduced car travel, energy efficiency, reuse and recycling, biking and transit, ecoroofs, land use, home weatherization, tree preservation","Emergency management improvements, Community resilience enhancements, Adaptive building techniques, Asset management considering climate risks, Monitoring and data collection, Water supply resilience."
Fayetteville,NC,2009,Green Plan,N/A,"Develop a utility infrastructure plan to maintain and improve systems, Develop an urban forestry plan to protect and expand tree resources, Work with stakeholders to develop an integrated regional comprehensive development plan, Prepare and implement an integrated water resources plan, Work with stakeholders to protect the Cape Fear River watershed.","Generate a baseline of city facility energy and water usage, design new city buildings to maximize energy and water efficiency, maintain and upgrade the city’s facilities with sustainability goals, develop a utility infrastructure plan, implement a green procurement program, enforce the Water Shortage Response Ordinance, manage water quality and quantity via the stormwater utility ordinance, synchronize signal lights, utilize traffic calming devices, support the Sustainable Sandhills Green Business Program, disseminate energy-saving tips, maximize energy efficiency in city facilities, adopt energy efficiency standards, collaborate on alternate fuels strategy, promote mass transit ridership, implement bicycle master plan, review feasibility of light rail corridors, develop urban forestry plan, promote high mileage and low emitting vehicles, adopt citywide sustainability programs, limit vehicle idling time, study LED streetlights, incorporate sustainability principles into city operations, volunteer for outreach campaigns.","Generate a baseline of city facility and operations energy and water usage, Design new city buildings to maximize energy and water efficiency, Maintain and upgrade the city’s facilities, Develop a utility infrastructure plan to maintain and improve infrastructure, Develop a green procurement program, Minimize emissions of city vehicles, Develop an alternate fuels strategy for city vehicles, Establish energy efficiency goals by sector, Encourage energy and water efficiency among residential property owners, Establish a smart grid program, Create a comprehensive city facilities and operations sustainability strategy, Use performance metrics and accountability to maximize benefits and reduce environmental impacts, Prepare and implement an integrated water resources plan, Protect the Cape Fear River watershed, Develop an integrated waste management plan, Implement renewable energy systems at various sites, Develop an urban forestry plan to protect and expand tree resources."
Columbus,OH,2021,Mitigation Primary CAP,"Summer heat emergencies, more frequent flooding, stronger storms, poor water quality, older electric utility infrastructure.","Develop a regional adaptive management strategy, Establish coordinated network of resilience hubs, Establish regional emergency alert system for climate hazards, Implement water adaptation strategies, Assess and protect assets from the impacts of climate change, Reduce urban heat with tree canopy cover, Evaluate microgrid + storage projects, Prototype zero carbon buildings, Adopt resilience standards","Increase renewable energy, increase building efficiency, adopt net zero and resilient building standards, enable carbon free vehicles, support equitable mode shift, reduce waste generated, increase waste diversion rate, support green business initiatives, increase annual sustainable development funding, develop a regional adaptive management strategy, advocate for state policies that align with low carbon, resilient solutions, ambition 2025, establish regional emergency alert system for climate hazards, reduced energy use, increase energy efficiency, switching to alternative fuels and clean energy supply, promoting the use of low- or zero emission vehicles.","Assess and protect assets from the impacts of climate change, Establish coordinated network of resilience hubs, Establish regional emergency alert system for climate hazards, Adopt resilience standards, Implement water adaptation strategies, Reduce urban heat with tree canopy cover, Evaluate microgrid + storage projects"
Anchorage,AK,2019,Mitigation Primary CAP,N/A,"Develop an emergency food plan, Improve local Mass Care response capabilities, Improve the local Emergency Alert System capability, Engage the business and health care community in developing emergency response plans, Identify key secondary access routes for emergency response, Give Community Councils tools to create local resilience strategies.",N/A,"Give Community Councils tools for emergency preparedness, Improve the local Emergency Alert System, Increase stocks of prepositioned sheltering supplies and equipment, Develop an emergency food plan, Engage the business and health care community in developing emergency response plans, Identify key secondary access routes for emergency response, Support families who cannot afford emergency preparedness kits, Create opportunities for safe food preservation and storage education."
Durham,NC,2021,Mitigation Plan,N/A,N/A,"Energy audits, equipment retrofits, benchmarking, LED conversions, converting natural gas to electricity in buildings, electrifying vehicle and transit systems, investing in renewable energy resources, purchasing renewable energy credits, carbon credits, green roofs, low-embodied carbon concrete, partnerships with community members and organizations.",N/A
